20250203 160700;5979.56;5994.28;5979.56;5994.28;0
20250203 160800;5994.14;5994.14;5990.94;5992.01;0
20250203 160900;5992.62;5997.87;5991.67;5996.49;0
20250203 161000;5996.36;5998.05;5995.74;5996.24;0
20250203 161100;5996.31;6003.71;5996.31;6001.22;0
20250203 161200;6001.28;6001.3;5997.51;5997.75;0
20250203 161300;5997.86;5999.29;5997.81;5998.73;0
20250203 161400;5998.75;6001.17;5997.82;6001.17;0
20250203 161500;6001.13;6001.47;6000.36;6000.71;0
20250203 161600;6000.74;6004.05;6000.74;6003.86;0
20250203 161700;6003.26;6003.26;5999.3;6000.77;0
20250203 161800;6000.67;6001.8;5998.88;6001.8;0
20250203 161900;6001.85;6005.57;6001.82;6004.91;0
20250203 162000;6004.91;6006.86;6004.59;6006.4;0
20250203 162100;6006.49;6007.69;6005.86;6006.8;0
20250203 162200;6006.64;6008.67;6004.66;6007.33;0
20250203 162300;6007.26;6011.43;6006.13;6009.57;0
20250203 162400;6009.76;6009.76;6005.42;6006.64;0
20250203 162500;6006.59;6007.72;6005.57;6006.27;0
20250203 162600;6006.19;6007.68;6004.72;6004.72;0
20250203 162700;6004.46;6004.46;5998.7;6001.25;0
20250203 162800;6001.01;6001.03;5997.29;5998.21;0
20250203 162900;5998.34;5999.68;5997.99;5998.96;0
20250203 163000;5998.95;5998.95;5995.84;5998.61;0
20250203 163100;5998.47;5998.96;5996.69;5997.55;0
20250203 163200;5997.68;5997.68;5992.56;5997;0
20250203 163300;5996.87;6001.57;5996.82;6000.56;0
20250203 163400;6000.45;6004.15;6000.45;6002.7;0
20250203 163500;6003.04;6004.66;6002.83;6003.88;0
20250203 163600;6003.96;6005.23;6002.48;6002.5;0
20250203 163700;6002.37;6006.1;6002.36;6004.6;0
20250203 163800;6004.56;6005.78;6002.52;6003.12;0
20250203 163900;6003.02;6003.49;6001.69;6003.06;0
20250203 164000;6003.1;6006.22;6003.03;6006.22;0
20250203 164100;6006.49;6008.03;6006.13;6006.14;0
20250203 164200;6006.28;6006.28;6002.87;6003.02;0
20250203 164300;6003.03;6003.82;5999.81;6000.9;0
20250203 164400;6000.87;6001.35;5998.96;6000.53;0
20250203 164500;6001.29;6006.7;6001.06;6006.2;0
20250203 164600;6006.21;6006.6;6005.28;6006.19;0
20250203 164700;6006.11;6008.48;6006;6008.48;0
20250203 164800;6008.5;6008.5;6005.05;6005.36;0
20250203 164900;6005.4;6009.23;6004.95;6008.56;0
20250203 165000;6008.48;6009.04;6000.32;6000.49;0
20250203 165100;6000.42;6005.5;6000.42;6004.96;0
20250203 165200;6005.03;6008.85;6005.03;6008.85;0
20250203 165300;6008.9;6009.4;6007.78;6009.15;0
20250203 165400;6009.22;6009.22;6006.95;6006.95;0
20250203 165500;6007;6007;6005.5;6005.5;0
20250203 165600;6005.41;6005.41;6000.76;6000.96;0
20250203 165700;6001.03;6001.36;5994.59;5997.16;0
20250203 165800;5997.37;5997.37;5991.08;5991.94;0
20250203 165900;5991.99;5992.25;5989.45;5992.25;0
20250203 170000;5992.29;5994.01;5991.86;5992.87;0
20250203 170100;5992.78;5996.01;5990.26;5995.96;0
20250203 170200;5995.83;5995.83;5989.37;5991.64;0
20250203 170300;5991.72;5992.07;5988.86;5990.52;0
20250203 170400;5990.43;5991.1;5988.17;5988.46;0
20250203 170500;5988.48;5990.25;5988.14;5990.25;0
20250203 170600;5990.67;5992.91;5990.02;5992.91;0
20250203 170700;5993.1;5993.83;5991.99;5992.28;0
20250203 170800;5992.05;5992.05;5987.74;5987.91;0
20250203 170900;5987.97;5989.09;5986.82;5988.89;0
20250203 171000;5989.11;5993.4;5988.56;5993.4;0
20250203 171100;5993.72;5994.88;5990.82;5991.07;0
20250203 171200;5991.27;5991.27;5987.79;5987.79;0
20250203 171300;5987.96;5992.13;5987.25;5992.13;0
20250203 171400;5991.96;5993;5990.54;5990.72;0
20250203 171500;5990.76;5992.37;5990.6;5991.83;0
20250203 171600;5991.75;5991.75;5989.55;5989.62;0
20250203 171700;5989.65;5990.37;5989.27;5989.36;0
20250203 171800;5989.49;5990.14;5989.21;5989.64;0
20250203 171900;5989.74;5993.19;5989.68;5991.96;0
20250203 172000;5991.96;5993.17;5990.79;5992.83;0
20250203 172100;5993.11;5995.5;5993.11;5994.39;0
20250203 172200;5994.33;5997.17;5993.64;5997.06;0
20250203 172300;5996.51;5997.18;5995.35;5997.18;0
20250203 172400;5997.53;5998.82;5997.53;5998.76;0
20250203 172500;5998.81;6003.36;5998.81;6003.36;0
20250203 172600;6003.66;6003.96;6002.64;6003.21;0
20250203 172700;6003.41;6005.56;6003.24;6004.38;0
20250203 172800;6004.09;6005.31;6003.21;6003.47;0
20250203 172900;6003.33;6004.35;5999.67;6000.41;0
